a;A;07;04;1E;9E;1C;F0;1C
b;B;07;05;30;B0;32;F0;32
c;C;07;06;2E;AE;21;F0;21
d;D;07;07;20;A0;23;F0;23
e;E;07;08;12;92;24;F0;24
f;F;07;09;21;A1;2B;F0;2B
g;G;07;0A;22;A2;34;F0;34
h;H;07;0B;23;A3;33;F0;33
i;I;07;0C;17;97;43;F0;43
j;J;07;0D;24;A4;3B;F0;3B
k;K;07;0E;25;A5;42;F0;42
l;L;07;0F;26;A6;4B;F0;4B
m;M;07;10;32;B2;3A;F0;3A
n;N;07;11;31;B1;31;F0;31
o;O;07;12;18;98;44;F0;44
p;P;07;13;19;99;4D;F0;4D
q;Q;07;14;10;90;15;F0;15
r;R;07;15;13;93;2D;F0;2D
s;S;07;16;1F;9F;1B;F0;1B
t;T;07;17;14;94;2C;F0;2C
u;U;07;18;16;96;3C;F0;3C
v;V;07;19;2F;AF;2A;F0;2A
w;W;07;1A;11;91;1D;F0;1D
x;X;07;1B;2D;AD;22;F0;22
y;Y;07;1C;15;95;35;F0;35
z;Z;07;1D;2C;AC;1A;F0;1A
1;!;07;1E;02;82;16;F0;16
2;@;07;1F;03;83;1E;F0;1E
3;#;07;20;04;84;26;F0;26
4;$;07;21;05;85;25;F0;25
5;%;07;22;06;86;2E;F0;2E
6;^;07;23;07;87;36;F0;36
7;&;07;24;08;88;3D;F0;3D
8;*;07;25;09;89;3E;F0;3E
9;(;07;26;0A;8A;46;F0;46
0;);07;27;0B;8B;45;F0;45
Return;07;28;1C;9C;5A;F0;5A
Escape;07;29;01;81;76;F0;76
Backspace;07;2A;0E;8E;66;F0;66
Tab;07;2B;0F;8F;0D;F0;0D
Space;07;2C;39;B9;29;F0;29
-;_;07;2D;0C;8C;4E;F0;4E
=;+;07;2E;0D;8D;55;F0;55
[;{;07;2F;1A;9A;54;F0;54
];};07;30;1B;9B;5B;F0;5B
\;|;07;31;2B;AB;5D;F0;5D
